Index,InternalID,Description,Designator,Quantity

"1","105098","CAP CER 100nF 0.022" (0.55mm) Voltage: 16V 0402 (1005 Metric)","C1","1"
"2","104784","CAP CER 22uF 0.057" (1.45mm) Voltage: 10V 0805 (2012 Metric)","C2","1"
"3","105100","CAP CER 1nF 0.022" (0.55mm) Voltage: 50V 0402 (1005 Metric)","C3","1"
"4","103635","CAP CER 4.7nF 0.022" (0.55mm) Voltage: 50V 0402 (1005 Metric)","C4","1"
"5","105098","CAP CER 100nF 0.022" (0.55mm) Voltage: 16V 0402 (1005 Metric)","C5","1"
"6","105100","CAP CER 1nF 0.022" (0.55mm) Voltage: 50V 0402 (1005 Metric)","C6","1"
"7","105098","CAP CER 100nF 0.022" (0.55mm) Voltage: 16V 0402 (1005 Metric)","C7","1"
"8","105098","CAP CER 100nF 0.022" (0.55mm) Voltage: 16V 0402 (1005 Metric)","C10","1"
"9","105100","CAP CER 1nF 0.022" (0.55mm) Voltage: 50V 0402 (1005 Metric)","C11","1"
"10","105098","CAP CER 100nF 0.022" (0.55mm) Voltage: 16V 0402 (1005 Metric)","C12","1"
"11","106166","LED GREEN CLEAR 0603 SMD","D2","1"
"12","103131","4 Positions Header, Shrouded Connector 0.059" (1.50mm) Surface Mount, Right Angle Gold","J1","1"
"13","103131","4 Positions Header, Shrouded Connector 0.059" (1.50mm) Surface Mount, Right Angle Gold","J2","1"
"14","103131","4 Positions Header, Shrouded Connector 0.059" (1.50mm) Surface Mount, Right Angle Gold","J3","1"
"15","106144","INDUCTOR 100nH 0603HP Blue","L1","1"
"16","106167","Kapton msp gssb","M1","1"
"17","103050","SAMTEC  CLP-103-02-G-D-BE  Board-To-Board Connector","P1","1"
"18","104606","MSP500-gssb-PCB","PCB1","1"
"19","104865","MSP500-flex","PCB2","1"
"20","103608","RES SMD 10K OHM 1% 1/16W 0402","R1","1"
"21","103719","RES SMD 4.7K OHM 1% 1/16W 0402","R2","1"
"22","103211","RES SMD 100K OHM 1% 1/16W 0402","R3","1"
"23","103211","RES SMD 100K OHM 1% 1/16W 0402","R4","1"
"24","103719","RES SMD 4.7K OHM 1% 1/16W 0402","R5","1"
"25","103719","RES SMD 4.7K OHM 1% 1/16W 0402","R6","1"
"26","103725","RES SMD 2.7K OHM 1% 1/16W 0402","R7","1"
"27","103725","RES SMD 2.7K OHM 1% 1/16W 0402","R8","1"
"28","103725","RES SMD 2.7K OHM 1% 1/16W 0402","R9","1"
"29","103719","RES SMD 4.7K OHM 1% 1/16W 0402","R10","1"
"30","103725","RES SMD 2.7K OHM 1% 1/16W 0402","R11","1"
"31","103727","RES SMD 2K OHM 1% 1/16W 0402","R13","1"
"32","103727","RES SMD 2K OHM 1% 1/16W 0402","R14","1"
"33","103684","RES SMD 200K OHM 1% 1/16W 0402","R15","1"
"34","103211","RES SMD 100K OHM 1% 1/16W 0402","R16","1"
"35","101160","General Purpose Amplifier 1 Circuit Rail-to-Rail SOT-23-5","U1","1"
"36","106165","IC VREF SHUNT 1.225V SOT23-3","U2","1"
"37","102796","IC ACCELERATOR I2C HOTSWAP 8MSOP","U3","1"
"38","105065","IC OPAMP INSTR 150KHZ RRO 8VSSOP","U4","1"
"39","102147","IC MCU 8BIT 4KB FLASH 14SOIC","U5","1"
"40","101160","General Purpose Amplifier 1 Circuit Rail-to-Rail SOT-23-5","U6","1"
